Host family,Host genus,Host species,MSW Bionomial,MaleBW(kg),FemBW(kg),SpecRW(kg),MaleL(cm),FemL(cm),SpecL(cm),MaleBrainW(g),FemBrainW(g),SpecBrainW(g),MaleSkullL(mm),FemSkullL(mm),WeightDim,LengthDim,BrainDim,SkullDim,field20,LitterSize,Gest(days),BirthW(g),LittW(g),Wean(days),IndepAge(days), MaleSexMat(days),FemSexMat(days),IntBirthInt(months),EyesOpen(days),ParturitionHabitat,field32,CapLongev(months),WildLongev(months),Longevity(months),Diet,Activity,field38,MassSpecBMR(mL O2/min),TotBMR(mL O2/min),BodyTemp(°C),Hematocrit(%),Hb (g% or g/100 mL),RBC(x10^6/mm3) or (x10^12/L),O2Capacity(mL/100 mL),O2CombiningCapacity (mL O2/g Hb),BloodVolume(mL/kg body mass),HeartRate (beats/min),field49,MS,Groupsize,PopDens(per km2),HomeRange(km2),Migratory,Territoriality,Habitat
Felidae,Oncifelis,guigna,Oncifelis guigna,,,2.5,,,43.06,,,24.04,,,,,,,,,,,,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Felidae,Oreailurus,jacobita,Oreailurus jacobita,,,7.21,,,60.09,,,,,,,,,,,,,,,,,,,,,Land,,,,,Carnivore,,,,,,,,,,,,,,,,,,,,Terrestrial
Viverridae,Osbornictis,piscivora,Osbornictis piscivora,1.43,1.50,1.46,47.00,44.50,45.75,,,,,,0.95,1.05,,,,1.00,,,,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Semi-Aquatic
Otariidae,Otaria,byronia,Otaria byronia,300.00,144.00,222,234.87,188.86,211.86,546.25,470.00,508.12,330.41,274.40,2.08,1.24,1.16,1.20,,1.00,255.00,12820.00,12820.00,365.00,,2007.50,1460.00,12.00,0.00,Land,,274.00,240.00,274.00,Omnivore,,,,,,,,,,,,,,Polygynous,Groups,,,No,No,Aquatic
Felidae,Otocolobus,manul,Otocolobus manul,3.05,,3.05,,,57.5,,,34.46,,,,,,,,4.66,74.50,89.00,415.33,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Canidae,Otocyon,megalotis,Otocyon megalotis,4.12,4.07,4.09,,,53.92,29.10,24.50,26.80,,,1.01,,1.18,,,3.50,62.50,120.50,421.75,105.00,255.00,,365.00,6.00,,Land,,165.00,,165.00,Insectivore,Arrhythmic,,,,,46.00,13.00,6.60,,,,,,Monogamous,Pairs,0.85,1.50,,,Terrestrial
Viverridae,Paguma,larvata,Paguma larvata,4.40,5.00,4.7,,,63.5,32.10,29.50,30.80,,,0.88,,1.08,,,2.34,,,,,,,,6.00,9.03,Land,,185.00,,185.00,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Felidae,Panthera,leo,Panthera leo,176.10,135.50,155.8,195.00,157.50,176.25,228.00,219.00,223.50,,,1.29,1.23,1.04,,,2.60,105.50,1650.00,4290.00,256.87,1080.00,1422.05,1620.00,25.00,3.00,Land,,360.00,162.00,360.00,Carnivore,Nocturnal,,2.93,457.01,,37.65,13.50,8.05,,,,40.00,,Polygynous,Groups,0.09,210.00,,Yes,Terrestrial
Felidae,Panthera,onca,Panthera onca,94.80,77.60,86.2,145.40,121.72,133.56,154.00,149.00,151.50,,,1.22,1.19,1.03,,,2.50,104.50,816.60,2041.50,157.50,638.75,1277.50,1110.00,12.00,8.00,Land,,276.00,264.00,276.00,Carnivore,Nocturnal,,3.06,264.34,,37.00,13.00,7.48,,,,,,,Solitary,0.06,70.58,No,Yes,Terrestrial
Felidae,Panthera,pardus,Panthera pardus,65.50,39.30,52.4,,,135.5,139.00,112.00,125.50,,,1.66,,1.24,,,2.60,98.00,549.30,1428.18,124.25,600.00,600.00,1187.00,19.32,9.03,Land,,276.00,,276.00,Carnivore,Nocturnal and Crepuscular,,,,,38.90,12.80,7.67,,,,60.00,,,Solitary,0.04,23.60,,Yes,Terrestrial
Felidae,Panthera,tigris,Panthera tigris,191.00,131.00,161,191.53,163.30,177.42,311.60,247.00,279.30,,,1.45,1.17,1.26,,,2.50,104.10,1255.00,3137.50,165.00,570.00,1642.50,1463.33,28.31,9.03,Land,,315.00,312.00,315.00,Carnivore,Nocturnal,,2.95,474.95,,40.53,13.58,7.09,,,,64.00,,Polygynous,Solitary,0.03,75.00,,Yes,Terrestrial
Herpestidae,Paracynictis,selousi,Paracynictis selousi,1.76,1.64,1.7,,,42.91,16.10,15.50,15.80,,,1.07,,1.03,,,1.91,,,,,,,,,,Land,,1.00,,,Insectivore,Nocturnal,,,,,,,,,,,,,,Solitary to Pairs,,,,,Terrestrial
Viverridae,Paradoxurus,hermaphroditus,Paradoxurus hermaphroditus,3.30,2.70,3,,,53.38,18.50,18.50,18.50,,,1.22,,1.00,,,3.30,60.00,92.07,303.84,,,,345.00,6.00,,Land,,269.00,264.00,269.00,Omnivore,Nocturnal,,3.75,11.26,36.45,40.00,12.30,10.30,,,,,,,Solitary,,0.01,,,Terrestrial
Viverridae,Paradoxurus,jerdoni,Paradoxurus jerdoni,,,3.58,,,58.99,,,24.04,,,,,,,,,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
